"","INDEX","P_TARGET_FLAG"
"1",3,"1"
"2",9,"1"
"3",10,"1"
"4",18,"1"
"5",21,"1"
"6",30,"1"
"7",31,"1"
"8",37,"0"
"9",39,"0"
"10",47,"1"
"11",60,"0"
"12",62,"1"
"13",63,"1"
"14",64,"1"
"15",68,"1"
"16",75,"1"
"17",76,"1"
"18",83,"0"
"19",87,"1"
"20",92,"1"
"21",98,"1"
"22",106,"0"
"23",107,"0"
"24",113,"1"
"25",120,"0"
"26",123,"1"
"27",125,"1"
"28",126,"1"
"29",128,"1"
"30",129,"0"
"31",131,"0"
"32",135,"1"
"33",141,"0"
"34",147,"0"
"35",148,"1"
"36",151,"1"
"37",156,"0"
"38",157,"1"
"39",174,"0"
"40",186,"1"
"41",193,"0"
"42",195,"1"
"43",212,"0"
"44",213,"1"
"45",217,"0"
"46",223,"0"
"47",226,"1"
"48",228,"1"
"49",230,"1"
"50",241,"0"
"51",243,"0"
"52",249,"1"
"53",281,"1"
"54",288,"1"
"55",294,"1"
"56",295,"1"
"57",300,"1"
"58",302,"1"
"59",303,"0"
"60",308,"1"
"61",319,"0"
"62",320,"0"
"63",324,"1"
"64",331,"1"
"65",343,"0"
"66",347,"1"
"67",348,"1"
"68",350,"1"
"69",357,"0"
"70",358,"1"
"71",360,"0"
"72",366,"1"
"73",367,"1"
"74",368,"1"
"75",376,"1"
"76",380,"1"
"77",388,"0"
"78",396,"1"
"79",398,"1"
"80",403,"1"
"81",410,"1"
"82",412,"1"
"83",420,"1"
"84",434,"1"
"85",440,"1"
"86",450,"1"
"87",453,"0"
"88",464,"1"
"89",465,"0"
"90",466,"1"
"91",473,"1"
"92",476,"1"
"93",478,"0"
"94",479,"1"
"95",493,"0"
"96",497,"0"
"97",503,"0"
"98",504,"1"
"99",505,"1"
"100",507,"1"
"101",513,"1"
"102",519,"1"
"103",521,"1"
"104",522,"1"
"105",545,"0"
"106",549,"1"
"107",551,"0"
"108",556,"1"
"109",557,"1"
"110",559,"1"
"111",560,"1"
"112",566,"1"
"113",569,"1"
"114",573,"1"
"115",578,"1"
"116",579,"1"
"117",582,"1"
"118",596,"1"
"119",598,"1"
"120",599,"1"
"121",602,"1"
"122",605,"1"
"123",617,"1"
"124",619,"1"
"125",630,"1"
"126",634,"1"
"127",643,"1"
"128",645,"1"
"129",647,"1"
"130",649,"0"
"131",656,"0"
"132",657,"1"
"133",658,"1"
"134",667,"1"
"135",692,"1"
"136",693,"1"
"137",698,"1"
"138",699,"1"
"139",700,"1"
"140",704,"1"
"141",707,"1"
"142",708,"1"
"143",709,"1"
"144",713,"0"
"145",714,"0"
"146",716,"1"
"147",718,"1"
"148",722,"1"
"149",729,"1"
"150",731,"0"
"151",733,"1"
"152",746,"1"
"153",747,"1"
"154",748,"1"
"155",753,"1"
"156",757,"1"
"157",763,"1"
"158",767,"1"
"159",774,"1"
"160",776,"1"
"161",788,"1"
"162",794,"1"
"163",799,"1"
"164",803,"1"
"165",806,"1"
"166",807,"1"
"167",811,"0"
"168",816,"1"
"169",818,"1"
"170",819,"1"
"171",831,"0"
"172",835,"0"
"173",837,"0"
"174",841,"1"
"175",846,"0"
"176",856,"1"
"177",861,"1"
"178",862,"1"
"179",863,"1"
"180",865,"1"
"181",871,"1"
"182",879,"1"
"183",880,"0"
"184",881,"0"
"185",885,"1"
"186",887,"1"
"187",892,"0"
"188",898,"0"
"189",900,"1"
"190",904,"1"
"191",906,"1"
"192",910,"1"
"193",912,"1"
"194",913,"0"
"195",919,"0"
"196",924,"1"
"197",925,"1"
"198",930,"0"
"199",940,"1"
"200",941,"1"
"201",946,"1"
"202",949,"1"
"203",951,"0"
"204",962,"1"
"205",966,"1"
"206",967,"0"
"207",971,"1"
"208",981,"1"
"209",982,"1"
"210",983,"0"
"211",984,"0"
"212",989,"0"
"213",990,"1"
"214",992,"1"
"215",995,"1"
"216",996,"1"
"217",998,"0"
"218",1001,"1"
"219",1007,"0"
"220",1008,"0"
"221",1016,"0"
"222",1022,"0"
"223",1027,"1"
"224",1032,"1"
"225",1033,"0"
"226",1041,"1"
"227",1065,"1"
"228",1074,"1"
"229",1075,"0"
"230",1081,"0"
"231",1094,"1"
"232",1099,"1"
"233",1105,"1"
"234",1123,"1"
"235",1135,"1"
"236",1142,"1"
"237",1155,"0"
"238",1169,"1"
"239",1176,"0"
"240",1178,"1"
"241",1180,"1"
"242",1184,"0"
"243",1185,"1"
"244",1193,"0"
"245",1196,"1"
"246",1199,"1"
"247",1203,"1"
"248",1205,"0"
"249",1207,"1"
"250",1208,"1"
"251",1212,"1"
"252",1213,"1"
"253",1222,"0"
"254",1223,"0"
"255",1226,"1"
"256",1227,"1"
"257",1229,"0"
"258",1230,"1"
"259",1231,"1"
"260",1241,"1"
"261",1243,"1"
"262",1244,"0"
"263",1246,"0"
"264",1248,"0"
"265",1249,"0"
"266",1252,"0"
"267",1261,"1"
"268",1275,"0"
"269",1281,"1"
"270",1285,"1"
"271",1288,"1"
"272",1290,"0"
"273",1291,"1"
"274",1304,"1"
"275",1305,"0"
"276",1323,"1"
"277",1342,"1"
"278",1348,"1"
"279",1353,"1"
"280",1363,"1"
"281",1371,"1"
"282",1372,"1"
"283",1378,"1"
"284",1381,"0"
"285",1382,"1"
"286",1393,"1"
"287",1394,"0"
"288",1398,"1"
"289",1404,"1"
"290",1405,"1"
"291",1419,"1"
"292",1421,"1"
"293",1426,"1"
"294",1431,"1"
"295",1435,"0"
"296",1437,"1"
"297",1438,"1"
"298",1442,"1"
"299",1464,"0"
"300",1471,"1"
"301",1473,"1"
"302",1476,"1"
"303",1478,"1"
"304",1479,"1"
"305",1487,"1"
"306",1492,"1"
"307",1496,"1"
"308",1497,"1"
"309",1515,"1"
"310",1519,"1"
"311",1522,"1"
"312",1526,"1"
"313",1537,"0"
"314",1538,"1"
"315",1540,"1"
"316",1543,"1"
"317",1548,"0"
"318",1549,"1"
"319",1556,"1"
"320",1564,"0"
"321",1570,"1"
"322",1577,"1"
"323",1585,"0"
"324",1590,"0"
"325",1592,"1"
"326",1594,"1"
"327",1596,"1"
"328",1598,"0"
"329",1603,"0"
"330",1607,"1"
"331",1612,"0"
"332",1627,"0"
"333",1629,"0"
"334",1630,"0"
"335",1640,"1"
"336",1641,"1"
"337",1646,"1"
"338",1662,"1"
"339",1668,"0"
"340",1671,"0"
"341",1672,"1"
"342",1673,"1"
"343",1686,"1"
"344",1688,"1"
"345",1696,"0"
"346",1701,"1"
"347",1707,"0"
"348",1708,"0"
"349",1713,"1"
"350",1715,"0"
"351",1717,"1"
"352",1721,"0"
"353",1724,"1"
"354",1725,"1"
"355",1730,"1"
"356",1731,"1"
"357",1734,"1"
"358",1740,"1"
"359",1748,"0"
"360",1749,"0"
"361",1750,"1"
"362",1763,"0"
"363",1768,"0"
"364",1773,"1"
"365",1777,"0"
"366",1778,"1"
"367",1780,"0"
"368",1782,"1"
"369",1784,"0"
"370",1786,"1"
"371",1787,"0"
"372",1792,"1"
"373",1800,"1"
"374",1801,"1"
"375",1803,"0"
"376",1804,"1"
"377",1807,"0"
"378",1818,"1"
"379",1821,"0"
"380",1822,"1"
"381",1828,"0"
"382",1833,"0"
"383",1844,"1"
"384",1847,"1"
"385",1850,"0"
"386",1854,"1"
"387",1858,"1"
"388",1864,"0"
"389",1867,"0"
"390",1876,"1"
"391",1880,"1"
"392",1881,"1"
"393",1891,"1"
"394",1894,"1"
"395",1895,"1"
"396",1901,"0"
"397",1905,"1"
"398",1912,"1"
"399",1918,"1"
"400",1921,"1"
"401",1923,"0"
"402",1924,"1"
"403",1931,"0"
"404",1941,"1"
"405",1950,"0"
"406",1951,"0"
"407",1954,"1"
"408",1961,"1"
"409",1966,"0"
"410",1979,"0"
"411",1982,"1"
"412",1987,"1"
"413",1997,"1"
"414",2004,"0"
"415",2011,"1"
"416",2015,"1"
"417",2025,"0"
"418",2033,"1"
"419",2034,"0"
"420",2035,"1"
"421",2036,"1"
"422",2053,"1"
"423",2059,"1"
"424",2060,"0"
"425",2073,"1"
"426",2084,"1"
"427",2089,"0"
"428",2092,"1"
"429",2109,"0"
"430",2129,"1"
"431",2134,"1"
"432",2135,"0"
"433",2148,"0"
"434",2149,"1"
"435",2150,"1"
"436",2165,"1"
"437",2166,"0"
"438",2168,"1"
"439",2170,"1"
"440",2171,"0"
"441",2172,"0"
"442",2176,"1"
"443",2182,"0"
"444",2189,"1"
"445",2191,"1"
"446",2197,"1"
"447",2202,"0"
"448",2203,"1"
"449",2204,"1"
"450",2206,"1"
"451",2218,"1"
"452",2219,"1"
"453",2221,"1"
"454",2226,"0"
"455",2228,"0"
"456",2232,"1"
"457",2236,"0"
"458",2241,"1"
"459",2245,"0"
"460",2251,"1"
"461",2255,"0"
"462",2256,"1"
"463",2259,"1"
"464",2263,"1"
"465",2264,"0"
"466",2267,"0"
"467",2273,"1"
"468",2277,"1"
"469",2287,"0"
"470",2289,"1"
"471",2291,"1"
"472",2296,"1"
"473",2299,"0"
"474",2306,"1"
"475",2314,"1"
"476",2317,"1"
"477",2318,"1"
"478",2321,"1"
"479",2324,"1"
"480",2340,"1"
"481",2343,"0"
"482",2349,"1"
"483",2352,"1"
"484",2353,"0"
"485",2365,"1"
"486",2370,"1"
"487",2378,"1"
"488",2390,"1"
"489",2399,"1"
"490",2402,"1"
"491",2403,"0"
"492",2404,"1"
"493",2414,"1"
"494",2422,"0"
"495",2424,"1"
"496",2430,"1"
"497",2435,"1"
"498",2439,"1"
"499",2442,"1"
"500",2445,"1"
"501",2449,"1"
"502",2451,"1"
"503",2461,"1"
"504",2464,"1"
"505",2465,"1"
"506",2472,"1"
"507",2476,"1"
"508",2482,"1"
"509",2487,"1"
"510",2498,"1"
"511",2501,"0"
"512",2504,"1"
"513",2511,"0"
"514",2518,"1"
"515",2521,"1"
"516",2530,"1"
"517",2543,"1"
"518",2545,"1"
"519",2561,"1"
"520",2566,"1"
"521",2572,"0"
"522",2577,"1"
"523",2578,"0"
"524",2580,"1"
"525",2581,"1"
"526",2582,"0"
"527",2584,"0"
"528",2590,"0"
"529",2598,"1"
"530",2602,"1"
"531",2605,"1"
"532",2616,"1"
"533",2618,"0"
"534",2619,"1"
"535",2624,"0"
"536",2632,"0"
"537",2640,"1"
"538",2646,"0"
"539",2651,"1"
"540",2660,"0"
"541",2661,"0"
"542",2668,"1"
"543",2670,"1"
"544",2680,"1"
"545",2681,"0"
"546",2689,"1"
"547",2694,"0"
"548",2695,"1"
"549",2696,"1"
"550",2702,"1"
"551",2704,"1"
"552",2708,"0"
"553",2709,"1"
"554",2714,"1"
"555",2716,"1"
"556",2723,"0"
"557",2725,"1"
"558",2738,"1"
"559",2750,"1"
"560",2756,"1"
"561",2758,"0"
"562",2766,"1"
"563",2767,"1"
"564",2771,"1"
"565",2775,"1"
"566",2776,"1"
"567",2779,"1"
"568",2780,"1"
"569",2781,"1"
"570",2782,"1"
"571",2783,"0"
"572",2796,"1"
"573",2798,"1"
"574",2800,"0"
"575",2803,"1"
"576",2806,"0"
"577",2813,"1"
"578",2818,"1"
"579",2821,"0"
"580",2825,"1"
"581",2829,"1"
"582",2830,"1"
"583",2833,"0"
"584",2839,"1"
"585",2843,"0"
"586",2846,"0"
"587",2847,"1"
"588",2848,"0"
"589",2856,"1"
"590",2863,"1"
"591",2867,"0"
"592",2869,"1"
"593",2873,"0"
"594",2874,"1"
"595",2875,"1"
"596",2880,"0"
"597",2886,"1"
"598",2887,"1"
"599",2888,"1"
"600",2889,"1"
"601",2890,"1"
"602",2892,"1"
"603",2901,"1"
"604",2902,"1"
"605",2905,"0"
"606",2917,"1"
"607",2922,"1"
"608",2924,"1"
"609",2930,"1"
"610",2931,"0"
"611",2946,"1"
"612",2955,"1"
"613",2962,"0"
"614",2964,"0"
"615",2965,"1"
"616",2967,"1"
"617",2970,"0"
"618",2973,"1"
"619",2974,"0"
"620",2976,"1"
"621",2977,"1"
"622",2978,"1"
"623",2986,"0"
"624",2988,"1"
"625",2989,"1"
"626",2995,"1"
"627",3005,"1"
"628",3011,"0"
"629",3013,"0"
"630",3019,"1"
"631",3021,"1"
"632",3022,"1"
"633",3029,"1"
"634",3037,"1"
"635",3042,"1"
"636",3043,"1"
"637",3049,"0"
"638",3050,"1"
"639",3053,"0"
"640",3058,"1"
"641",3062,"1"
"642",3063,"1"
"643",3065,"1"
"644",3080,"0"
"645",3088,"1"
"646",3093,"1"
"647",3096,"1"
"648",3101,"1"
"649",3103,"1"
"650",3107,"1"
"651",3109,"0"
"652",3111,"1"
"653",3113,"1"
"654",3116,"0"
"655",3132,"1"
"656",3141,"0"
"657",3153,"1"
"658",3154,"0"
"659",3160,"0"
"660",3167,"1"
"661",3170,"1"
"662",3173,"1"
"663",3174,"1"
"664",3177,"0"
"665",3179,"1"
"666",3184,"1"
"667",3190,"1"
"668",3193,"0"
"669",3199,"1"
"670",3201,"0"
"671",3202,"0"
"672",3203,"1"
