"","INDEX","P_TARGET_FLAG","P_TARGET_AMT"
"1",3,"0",1349
"2",9,"0",1852
"3",10,"0",1113
"4",18,"0",1367
"5",21,"0",1409
"6",30,"0",1305
"7",31,"1",1751
"8",37,"0",2218
"9",39,"0",1607
"10",47,"0",1402
"11",60,"0",732
"12",62,"0",1952
"13",63,"1",3253
"14",64,"0",1267
"15",68,"0",597
"16",75,"1",2135
"17",76,"1",4032
"18",83,"0",1115
"19",87,"1",2623
"20",92,"1",1631
"21",98,"0",2262
"22",106,"0",1079
"23",107,"0",1151
"24",113,"0",1180
"25",120,"0",1473
"26",123,"1",2416
"27",125,"1",1470
"28",126,"0",3011
"29",128,"0",621
"30",129,"0",950
"31",131,"0",352
"32",135,"1",3539
"33",141,"0",260
"34",147,"0",517
"35",148,"0",872
"36",151,"0",798
"37",156,"0",1497
"38",157,"0",1283
"39",174,"0",891
"40",186,"0",2505
"41",193,"1",2255
"42",195,"0",1223
"43",212,"0",545
"44",213,"1",2293
"45",217,"0",245
"46",223,"0",576
"47",226,"0",532
"48",228,"1",2535
"49",230,"0",636
"50",241,"0",1890
"51",243,"0",742
"52",249,"0",3649
"53",281,"1",3698
"54",288,"0",567
"55",294,"0",2095
"56",295,"0",1240
"57",300,"0",1245
"58",302,"0",2071
"59",303,"0",643
"60",308,"1",1965
"61",319,"0",397
"62",320,"0",185
"63",324,"0",2051
"64",331,"0",725
"65",343,"0",364
"66",347,"0",1683
"67",348,"1",3500
"68",350,"1",2588
"69",357,"0",1199
"70",358,"0",1260
"71",360,"0",316
"72",366,"0",1568
"73",367,"0",2199
"74",368,"0",1625
"75",376,"0",2340
"76",380,"0",1246
"77",388,"1",1711
"78",396,"0",1875
"79",398,"0",867
"80",403,"0",484
"81",410,"1",2424
"82",412,"0",1857
"83",420,"0",1612
"84",434,"0",681
"85",440,"1",2567
"86",450,"1",3174
"87",453,"0",1129
"88",464,"0",1498
"89",465,"0",647
"90",466,"1",4619
"91",473,"0",667
"92",476,"0",1257
"93",478,"0",573
"94",479,"0",816
"95",493,"0",623
"96",497,"0",2303
"97",503,"0",329
"98",504,"0",1837
"99",505,"0",1011
"100",507,"0",1402
"101",513,"0",1576
"102",519,"0",1903
"103",521,"0",2710
"104",522,"1",1648
"105",545,"0",1153
"106",549,"0",1232
"107",551,"0",758
"108",556,"0",1274
"109",557,"0",2417
"110",559,"0",1395
"111",560,"1",2163
"112",566,"0",890
"113",569,"0",1688
"114",573,"0",1233
"115",578,"1",2301
"116",579,"0",733
"117",582,"0",1824
"118",596,"1",2934
"119",598,"1",2257
"120",599,"0",839
"121",602,"0",817
"122",605,"1",3069
"123",617,"1",1974
"124",619,"0",1935
"125",630,"0",736
"126",634,"1",3107
"127",643,"1",2095
"128",645,"0",1529
"129",647,"0",1304
"130",649,"0",619
"131",656,"0",806
"132",657,"0",1868
"133",658,"0",1070
"134",667,"0",543
"135",692,"0",1107
"136",693,"0",1731
"137",698,"1",3488
"138",699,"1",2892
"139",700,"0",1063
"140",704,"0",857
"141",707,"0",566
"142",708,"1",3023
"143",709,"0",980
"144",713,"0",850
"145",714,"0",623
"146",716,"0",3840
"147",718,"0",952
"148",722,"0",826
"149",729,"0",1793
"150",731,"0",288
"151",733,"1",2917
"152",746,"0",2273
"153",747,"1",3663
"154",748,"0",1955
"155",753,"0",1512
"156",757,"1",1913
"157",763,"0",1375
"158",767,"0",1272
"159",774,"1",2516
"160",776,"1",1976
"161",788,"0",1412
"162",794,"0",1611
"163",799,"0",1089
"164",803,"0",1434
"165",806,"1",3083
"166",807,"0",2314
"167",811,"0",1518
"168",816,"0",1158
"169",818,"1",1304
"170",819,"0",1202
"171",831,"0",980
"172",835,"1",2241
"173",837,"0",1236
"174",841,"1",5263
"175",846,"0",2065
"176",856,"0",1849
"177",861,"0",2449
"178",862,"0",2209
"179",863,"1",4576
"180",865,"1",1585
"181",871,"0",2356
"182",879,"0",1690
"183",880,"0",511
"184",881,"0",1418
"185",885,"0",1826
"186",887,"0",1338
"187",892,"0",233
"188",898,"0",312
"189",900,"0",1069
"190",904,"0",2385
"191",906,"1",2247
"192",910,"1",2705
"193",912,"0",2672
"194",913,"0",1378
"195",919,"0",820
"196",924,"1",1625
"197",925,"1",2629
"198",930,"0",1068
"199",940,"0",676
"200",941,"0",1823
"201",946,"0",1127
"202",949,"0",2036
"203",951,"0",1358
"204",962,"0",746
"205",966,"0",898
"206",967,"0",184
