"","INDEX","P_TARGET_WINS"
"1",9,62
"2",10,66
"3",14,73
"4",47,83
"5",60,84
"6",63,88
"7",74,76
"8",83,65
"9",98,69
"10",120,70
"11",123,70
"12",135,83
"13",138,82
"14",140,83
"15",151,82
"16",153,75
"17",171,71
"18",184,76
"19",193,67
"20",213,86
"21",217,82
"22",226,84
"23",230,80
"24",241,71
"25",291,78
"26",294,85
"27",300,60
"28",348,68
"29",350,80
"30",357,70
"31",367,90
"32",368,84
"33",372,85
"34",382,86
"35",388,81
"36",396,84
"37",398,77
"38",403,91
"39",407,85
"40",410,91
"41",412,83
"42",414,93
"43",436,47
"44",440,103
"45",476,97
"46",479,93
"47",481,99
"48",501,65
"49",503,66
"50",506,69
"51",519,72
"52",522,87
"53",550,76
"54",554,73
"55",566,72
"56",578,77
"57",596,91
"58",599,72
"59",605,78
"60",607,77
"61",614,90
"62",644,78
"63",692,88
"64",699,81
"65",700,80
"66",716,107
"67",721,67
"68",722,77
"69",729,91
"70",731,93
"71",746,87
"72",763,71
"73",774,80
"74",776,90
"75",788,78
"76",789,83
"77",792,84
"78",811,83
"79",835,81
"80",837,85
"81",861,83
"82",862,86
"83",863,95
"84",871,74
"85",879,85
"86",887,80
"87",892,82
"88",904,81
"89",909,90
"90",925,93
"91",940,76
"92",951,80
"93",976,66
"94",981,92
"95",983,100
"96",984,95
"97",989,95
"98",995,98
"99",1000,85
"100",1001,87
"101",1007,79
"102",1016,70
"103",1027,83
"104",1033,85
"105",1070,80
"106",1081,91
"107",1084,64
"108",1098,75
"109",1150,84
"110",1160,47
"111",1169,85
"112",1172,86
"113",1174,98
"114",1176,92
"115",1178,80
"116",1184,79
"117",1193,90
"118",1196,76
"119",1199,70
"120",1207,68
"121",1218,95
"122",1223,71
"123",1226,63
"124",1227,58
"125",1229,69
"126",1241,82
"127",1244,88
"128",1246,73
"129",1248,92
"130",1249,93
"131",1253,86
"132",1261,80
"133",1305,76
"134",1314,86
"135",1323,86
"136",1328,84
"137",1353,74
"138",1363,74
"139",1371,89
"140",1372,80
"141",1389,57
"142",1393,72
"143",1421,92
"144",1431,71
"145",1437,72
"146",1442,71
"147",1450,77
"148",1463,80
"149",1464,80
"150",1470,82
"151",1471,82
"152",1484,82
"153",1495,47
"154",1507,67
"155",1514,78
"156",1526,71
"157",1549,88
"158",1552,82
"159",1556,80
"160",1564,78
"161",1585,104
"162",1586,107
"163",1590,94
"164",1591,106
"165",1592,99
"166",1603,91
"167",1612,84
"168",1634,81
"169",1645,73
"170",1647,82
"171",1673,97
"172",1674,90
"173",1687,78
"174",1688,91
"175",1700,80
"176",1708,74
"177",1713,78
"178",1717,70
"179",1721,74
"180",1730,81
"181",1737,89
"182",1748,88
"183",1749,87
"184",1763,82
"185",1768,72
"186",1778,88
"187",1780,82
"188",1782,53
"189",1784,77
"190",1794,107
"191",1803,71
"192",1804,85
"193",1819,67
"194",1832,75
"195",1833,77
"196",1844,63
"197",1847,76
"198",1854,86
"199",1855,80
"200",1857,86
"201",1864,75
"202",1865,80
"203",1869,73
"204",1880,90
"205",1881,79
"206",1882,83
"207",1894,80
"208",1896,78
"209",1916,78
"210",1918,62
"211",1921,102
"212",1926,91
"213",1938,83
"214",1979,62
"215",1982,68
"216",1987,85
"217",1997,81
"218",2004,92
"219",2011,75
"220",2015,79
"221",2022,77
"222",2025,75
"223",2027,78
"224",2031,71
"225",2036,58
"226",2066,75
"227",2073,79
"228",2087,77
"229",2092,79
"230",2125,86
"231",2148,82
"232",2162,89
"233",2191,80
"234",2203,87
"235",2218,78
"236",2221,73
"237",2225,80
"238",2232,78
"239",2267,82
"240",2291,67
"241",2299,88
"242",2317,87
"243",2318,83
"244",2353,82
"245",2403,59
"246",2411,86
"247",2415,78
"248",2424,84
"249",2441,69
"250",2464,83
"251",2465,79
"252",2472,59
"253",2481,93
"254",2487,54
"255",2500,66
"256",2501,75
"257",2520,82
"258",2521,86
"259",2525,75
